Equipment ID,PD Average,PD Count,Temperature,Humidity,Loading
19720,1207.64,21,31.7,64.8,27
10437,1231.18,10,32,65.3,0
18899,1740.12,33,34.1,55.1,60
18898,1632.87,33,34.1,55.1,60
18895,1453.11,32,34.1,55.1,3
18891,814.74,10,34.1,55.1,63
18499,989.74,10,31.4,61.4,32
18525,1615.25,7,32.8,58.7,10
115302,609.95,13,32.4,63.4,2.4
115343,2383.62,22,32.5,62.2,600
18716,1693.81,24,32.8,62.1,40
115287,708.42,44,24.4,39.5,650
115288,727.86,53,24.4,39.5,650
115289,786.28,41,24.4,39.5,650
115296,935.76,14,24.2,64.2,1000
115297,1099.98,9,24.2,64.2,1000
13818,527.15,10,30.3,74.1,9.5
8425,93.08,11,27.8,87.9,10
8426,84,20,27.8,87.9,10
8430,95.02,16,27.8,87.9,5
8431,84,20,27.8,87.9,5
8432,84,20,27.8,87.9,5
8436,84,20,27.8,87.9,5
8437,89.95,15,27.8,87.9,5
8438,88.05,21,27.8,87.9,5
8439,84,20,27.8,87.9,10
8440,91.55,22,27.8,87.9,10
8441,84,18,27.8,87.9,10
8442,89.13,17,27.8,87.9,10
8443,85.36,10,27.8,87.9,10
8444,84,14,27.8,87.9,10
8424,84.55,15,27.8,87.9,10
18363,662.27,13,30.9,71.6,20
18315,1450.33,11,25.6,60.5,6
115513,608.21,7,30.1,65.1,519
115521,723.42,7,29.8,62.6,0
115520,941.22,7,29.8,62.6,0
115515,665.74,8,29.8,62.6,0
17934,945.64,11,29.4,72,12
17949,1801.01,18,29.9,69.3,637
115680,990.68,19,27.9,48.6,0
9892,810.76,13,29.6,66.2,280
115707,1232.85,23,30.5,43.84,2459
115707,1152.68,33,30.3,50.03,2459
115707,1203.47,11,28.8,42.85,2459
115707,1231.41,62,28.1,41.91,2459
115707,1189.12,36,28.9,41.34,2459
115707,1236.93,34,30.4,39.26,2459
115707,1116.07,24,31,37.18,2459
115707,1217.15,27,30.5,37.45,2431
115709,1640.68,21,30.5,43.84,2459
115709,1623.38,17,30.3,50.03,2459
115709,2117,11,28.8,42.85,2459
115709,1957.27,5,28.1,41.91,2459
115709,1822.54,8,28.9,41.34,2459
115709,2211.4,5,30.4,39.26,2459
115709,1695.94,12,31,37.18,2459
115709,1671.98,23,30.5,37.45,2431
115708,1247.14,26,30.5,43.84,2459
115708,1208.98,24,30.3,50.03,2459
115708,1356,12,28.8,42.85,2459
115708,1166.05,31,28.1,41.91,2459
115708,1255.32,26,28.9,41.34,2459
115708,1193.44,17,30.4,39.26,2459
115708,1117.26,20,31,37.18,2459
115708,1137.91,26,30.5,37.45,2431
5458,769.9,39,25.7,47.4,1439
12080,693.52,17,25.7,47.4,50
12079,656.27,15,25.7,47.4,50
12077,773.73,9,25.7,47.4,50
115905,107.89,16,26.2,53.9,101
115915,107.9,20,26.2,53.9,50
115906,107.9,18,26.2,53.9,101
115907,107.9,16,26.2,53.9,101
12076,757.65,11,25.8,48.32,50
12078,909.6,11,26.2,49.04,50
12078,734.45,12,27,46.89,40
12079,730.05,11,25.9,48.06,50
12079,691.41,10,25.8,48.32,50
12079,815.52,14,26.2,49.04,50
12080,811.83,12,27,46.89,40
5459,702.58,12,24.6,51.21,1572
5458,604.61,11,25.8,49.89,1572
11497,2629.09,25,25.7,56.2,700
11768,620.42,14,22.8,48,120
116140,702.06,10,25.8,67.4,160
9849,576.57,12,34.4,38.7,5
11925,1200.21,7,25.9,44.2,15
11927,1176.06,10,25.9,44.2,15
11930,1282.28,12,25.9,44.2,15
11495,2075.5,34,39.9,43.62,653
11495,2339.83,31,39.9,44.49,778
18726,1647.91,9,36.9,52.1,39
18727,1436.92,8,36.9,52.1,39
116649,606.52,10,30.3,72.8,16.78
17784,875.35,11,36.8,52,1700
11961,618.52,7,29.1,41.1,573
11963,679.79,7,29.1,41.1,573
19628,764.3,10,22.6,53.8,2
19617,904.49,9,22.6,53.8,54
116885,668.48,17,22.6,53.8,11
19611,1093.24,30,22.6,53.8,27
19610,1072.08,11,22.6,53.8,27
12075,610.83,10,26.2,48.34,60
12079,558.35,10,26.2,48.34,60
12078,1121.28,9,24.8,52.28,60
116940,693.49,22,32.7,65.4,57
116941,598.65,18,32.7,65.4,57
116942,616.5,12,32.7,65.4,42
116945,506.26,12,32.7,65.4,16
17657,690.3,10,30.4,67.3,100
17629,836.91,10,29.4,74.1,150
116978,1537.94,10,34.1,64.5,26
116979,1778.78,10,34.1,64.5,26
116980,1816.51,6,34.1,64.5,26
11657,1527.73,12,30.5,73.5,10
8525,453.72,3,32.2,60.4,900
1629,360.41,2,27.5,74.8,5
1630,291.87,8,27.5,74.8,5
1631,393.57,20,27.5,74.8,5
1632,318.04,1,27.5,74.8,5
5575,147.86,2,30.9,61.4,16
5574,225.06,4,30.9,61.4,16
5573,98.6,10,30.9,61.4,23
5569,161.51,2,30.9,61.4,1
5570,171.47,3,30.9,61.4,12
5571,121.15,9,30.9,61.4,12
5572,186.06,4,30.9,61.4,23
5568,88.9,7,30.9,61.4,1
5583,93.87,22,30.9,61.4,14
5582,96.41,10,30.9,61.4,14
5581,109.55,11,30.9,61.4,10
5580,138.18,1,30.9,61.4,10
5579,109.37,15,30.9,61.4,1
